dc:identifier,dc:title,dc:subject1,is part of,dc:description,dc:date,dc:spatial,dc:language,dc:interviewee,dc:interviewer,dc:performer,dc:performer,dc:performer,dc:performer,dc:performer,dc:contributor (recordist),dc:contributor (speaker),dc:extent,dc:subject2,dc:subject3,dc:subject4,dc:subject4
C1002X0058XX-3200,Edelweiss,1CDR0007344 (copy of C1002/58),Keith Summers Collection,"Item notes: N.B. this is only a provisional identification and could well be wrong. Recorded during a lively pub session. With chorus. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. ",ca. 1971,"Suffolk, England, UK",,,,"List, Fred (accordion) [?]",,,,,"Summers, Keith (recordist)",,00:02:53,accordion [?],,,
C1002X0058XX-2600,I'll be your sweetheart / unidentified tune [7],1CDR0007344 (copy of C1002/58),Keith Summers Collection,"Item notes: N.B. this is only a provisional identification and could well be wrong. Roud Folk Song Index No. 13465. Recorded during a lively pub session. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. ",ca. 1971,"Suffolk, England, UK",,,,"List, Fred (accordion) [?]",,,,,"Summers, Keith (recordist)",,00:03:20,accordion [?],,,
C1002X0058XX-4100,Flash Company,1CDR0007344 (copy of C1002/58),Keith Summers Collection,"Item notes: N.B. this is only a provisional identification and could well be wrong. Roud Folk Song Index No. 954. Recorded during a lively pub session. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. ",ca. 1971,"Suffolk, England, UK",,,,"List, Fred (accordion) [?]",,,,,"Summers, Keith (recordist)",,00:02:38,accordion [?],,,
C1002X0004XX-0600,Melodeon Tunes (3 o'clock in the morning / Peggy O' Neill),1CDR0007362 (copy of C1002/4),Keith Summers Collection,"Item notes: Names tunes afterwards. Performer notes: Sailor, Shanty singer, of Framlingham, Suffolk. ",11/28/1970,"Framlingham, Suffolk, England, UK",,,,"List, Fred (accordion)",,,,,"Summers, Keith (recordist)",,00:00:36,accordion,,,
C1002X0069XX-0200,"Norman Mateer interview, part 01",1CDR0007353 (copy of C1002/69),Keith Summers Collection,"Item notes: Norman Mateer talks briefly about his early sailing experiences and about the shanties. Interviewee notes: Sailor, Shanty singer, of Framlingham, Suffolk. Norman Mateer talks briefly about his early sailing experiences and about the shanties",ca. 1975 to 1978,"Tilbury, Essex, England, UK",,"Mateer, Norman  1885- (speaker, male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:02:41,,,,
C1002X0028XX-0500,Ballincollig in the morning,1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box - '3'. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:02:43,violin,,,
C1002X0028XX-1500,The Cobbler's hornpipe [take 1 - rehearsal],1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box - '3'. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:02:02,violin,,,
C1002X0028XX-1600,The Cobbler's hornpipe [take 2],1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box - '3'. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:02:36,violin,,,
C1002X0028XX-0600,Whiskey you're the Devil (hornpipe),1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box - '4' - which probably stands for four hand reel. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)","Smith, Albert (male)",00:00:16,violin,,,
C1002X0028XX-1200,Manchester hornpipe,1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box - '4' - which probably stands for four hand reel. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:01:42,violin,,,
C1002X0028XX-1300,The Earl Soham Slog (local name),1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box - '4 hand reel'. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:00:38,violin,,,
C1002X0029XX-0300,Jolly Jack the sailor,1CDR0007370 (copy of C1002/29),Keith Summers Collection,"Item notes: Note on box - better than other version. Roud Folk Song Index No. 1785. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Same session as the one on C1002/78, but recorded on a different machine, with a superior sound but Â without retaining the conversation between the songs. Same take as C1002/78 C43. ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:48,,,,
C1002X0029XX-0400,On board the Leicester Castle,1CDR0007370 (copy of C1002/29),Keith Summers Collection,"Item notes: Note on box - better than other version. Roud Folk song Index No. 653. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Same session as the one on C1002/78, but recorded on a different machine, with a superior sound but Â without retaining the conversation between the songs. Same take as C1002/78 C44. ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)","Smith, Albert (male)",00:00:43,,,,
C1002X0004XX-0200,untitled polka / Old Joe (polka),1CDR0007362 (copy of C1002/4),Keith Summers Collection,"Item notes: Note on box - for test only. Roud Folk Song Index No. 1777. Tunes repeated on C1002/4 C6. Performer notes: Of Framlingham, Suffolk. Recording notes: Sound quality very poor for the first thirty seconds. ",11/28/1970,"Framlingham, Suffolk, England, UK",,,,"List, Fred (accordion)",,,,,"Summers, Keith (recordist)",,00:03:51,accordion,,,
C1002X0050XX-0600,Scotland the brave / unidentified tune / unidentified tune,1CDR0007341 (copy of C1002/50),Keith Summers Collection,"Item notes: Note on box - ignore. Performer notes: From Yoxford and Leiston, Suffolk. Grandson of Charlie Phillpott.. ",1978-02,"Leiston [?], Suffolk, England, UK",,,,"Reeder, Reg, 1943- (dulcimer)",,,,,"Summers, Keith (recordist)",,00:00:54,dulcimer,,,
C1002X0017XX-1300,1 Tune - Polka,1CDR0007366 (copy of C1002/17),Keith Summers Collection,"Item notes: Note on box - similiar to one of Oscar Woods. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",02/08/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:01:16,violin,,,
C1002X0028XX-0800,Bring up the grog (hornpipe) - take 2,1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box -'4' - which probably means four hand reel. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:00:42,violin,,,
C1002X0028XX-0200,The Weavers hornpipe,1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box '4', which probably stands for four hand reel. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:00:56,violin,,,
C1002X0028XX-0300,The Bristol sailorman (hornpipe),1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box '4', which probably stands for four hand reel. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:02:21,violin,,,
C1002X0028XX-0400,The Fairie's hornpipe,1CDR0007369 (copy of C1002/28),Keith Summers Collection,"Item notes: Note on box '4', which probably stands for four hand reel. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. ",04/05/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:03:06,violin,,,
C1002X0017XX-1500,1 tune,1CDR0007366 (copy of C1002/17),Keith Summers Collection,"Item notes: Note on the box - 'introduced as a Polka ?'. Performer notes: From Bedfield, Suffolk. Age 85. Accompanies his songs with the violin in both bowed and plucked (Mandolin) style. ",02/08/1971,"Bedfield, Suffolk, England, UK",,,,"Nesling, Harkie, 1890 - (fiddle)",,,,,"Summers, Keith (recordist)",,00:03:21,violin,,,
C1002X0078XX-7400,A neat little cot,1CDR0010647 (copy of C1002/78),Keith Summers Collection,"Item notes: One line fragment. Sings: She's my sweetheart pretty Maggie. From Freddie Ling. Performer notes: Of the Ling family of Blaxhall, Suffolk. Recording notes: Same session as the one on C1002/29, but recorded on a different machine, with a fainter sound. ",4/24/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:04:05,,,,
C1002X0064XX-4200,A four legged friend,1CDR0007348 (copy of C1002/64),Keith Summers Collection,"Item notes: One verse only. Performer notes: Irish crooner, friend of Oscar Woods. ",ca. 1971,"Saxmundham, Suffolk, England, UK",,,,'Belfast John',,,,,"Summers, Keith (recordist)",,00:02:43,,,,
C1002X0078XX-4100,I will if you will,1CDR0010646 (copy of C1002/78),Keith Summers Collection,"Item notes: One verse. First line: I will if you will, you will so will I. Recording notes: Recording muffled during the first verse. ",1974,"A public house in Framlingham, Suffolk, England, UK",,,,"King, Jimmy (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:49,,,,
C1002X0078XX-6200,Will the angels play their harps for me,1CDR0010646 (copy of C1002/78),Keith Summers Collection,Item notes: Only a few bars played on fiddle before singing the song. Followed by conversation. ,1974,"Woodbridge, Suffolk, England, UK",,,,"Austin, 'Spanker' (fiddle, singer, male)",,,,,"Summers, Keith (recordist)",,00:02:20,violin,,,
C1002X0083XX-2500,It's of an old man of Holligan town,1CDR0010654 (copy of C1002/83),Keith Summers Collection,"Item notes: Only one line recorded before recording stopped. Recording notes: Low recording level, noticable tape hiss. ",ca. 1971,"Unidentified folk club, London [?], England, UK",,,,"Unidentified (singer, male)",,,,,"Summers, Keith (recordist)",,00:02:51,,,,
C1002X0078XX-4600,Now I don't like work / Granny's old arm chair,1CDR0010646 (copy of C1002/78),Keith Summers Collection,Item notes: Only the opening line of the first song sung before the singer goes into Granny's old arm chair. Roud Folk Song Index No. 1195 (Granny's old arm chair). Recording notes: Badly distorted in the chorus. ,1974,"A public house in Framlingham, Suffolk, England, UK",,,,"Finbow, Jimmy (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:59,,,,
C1002X0019XX-1800,The Sultans polka,1CDR0007366 (copy of C1002/19),Keith Summers Collection,"Item notes: Opening a variant of - The Heel and toe polka. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. Recording notes: Bad distortion in the left channel. ",ca. 1975-02-09,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:00:38,violin,,,
C1002X0096XX-0500,unidentified tune / Oh Joe the boat is going over,1CDR0010670 (copy of C1002/96),Keith Summers Collection,Item notes: Opening missed. ,ca. 1981,"The Crown Inn, Brundish, Suffolk, England, UK",,,,"Curtis, Dolly, 1905- (melodeon)","Howson, John (banjo)","Howson, Katie (melodeon)","Reeder, Reg, 1943- (hammered dulcimer)","Whiting, Fred ('Pip'), 1906-1988 (dancing-dolls)","Summers, Keith (recordist)",,00:02:18,melodeon,banjo,dancing-dolls,
C1002X0051XX-0200,Oscar's jig,1CDR0007342 (copy of C1002/51),Keith Summers Collection,Item notes: Opening missed. ,ca. 1976 to 1978,"Saxmundham, Suffolk, England, UK",,,,"Woolnough, George  (melodeon)",,,,,"Summers, Keith (recordist)",,00:02:01,melodeon,,,
C1002X0052XX-0200,Polka,1CDR0007342 (copy of C1002/52),Keith Summers Collection,Item notes: Opening missed. ,ca. 1976 to 1978,"Saxmundham, Suffolk, England, UK",,,,"Woolnough, George  (melodeon)",,,,,"Summers, Keith (recordist)",,00:00:37,melodeon,,,
C1002X0048XX-0200,Cock of the North,1CDR0007341 (copy of C1002/48),Keith Summers Collection,"Item notes: Opening missing, recorded during a lively pub session. ",1977,"Worlingworth Swan, Worlingworth, Suffolk, England, UK",,,,"Whatling, Walter ('Font') 1919- (melodeon)",,,,,"Summers, Keith (recordist)",,00:01:21,melodeon,,,
C1002X0033XX-0700,The Banks of the Nile,1CDR0007371 (copy of C1002/33),Keith Summers Collection,"Item notes: Opening words missing, so first verse repeated at the end. Roud Folk Song Index No. 950. Laws Ballad No. N9. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",4/26/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900- (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:19,,,,
C1002X0021XX-0900,The top of the morning [fragment],1CDR0007368 (copy of C1002/21),Keith Summers Collection,"Item notes: Own composition but can't remember the song. First line: While walking the seashore so early one dawning, a mermaid was spied by the rocks in the gloaming. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:52,,,,
C1002X0021XX-0200,The Morals (medley),1CDR0007368 (copy of C1002/21),Keith Summers Collection,"Item notes: Own composition, incorporates - Please don't forget the old ones / Sprigg of thyme / For what's the life of the man / For there always will be singers. Roud Folk Song Index No. 3 [Sprigg of thyme] and 848 [For whats the life of the man]. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:04,,,,
C1002X0021XX-0800,Wild flowers,1CDR0007368 (copy of C1002/21),Keith Summers Collection,"Item notes: Own composition. First line: There's a dark dreary cloud hanging on me and a mighty big load on my mind. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:47,,,,
C1002X0022XX-0200,The top of the morning,1CDR0007368 (copy of C1002/22),Keith Summers Collection,"Item notes: Own composition. First line: While walking the seashore so early one morning, a mermaid was spied by the rocks in the gloaming. Performer notes: From Benhall, Suffolk. Gamekeeper at Eastbridge, later based in Nottinghamshire. ",03/07/1971,"Newark, Nottinghamshire, England, UK",,,,"Bloomfield, Alec (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:21,,,,
C1002X0036XX-0800,Fisher's hornpipe,1CDR0007372 (copy of C1002/36),Keith Summers Collection,"Item notes: Pause at the beginning. Performer notes: From Kenton, Suffolk. Age 69. Left handed fiddle player who plays a right handed strung violin. Recording notes: Recorded in reverse stereo, this has been corrected for playback purposes. ",07/12/1971,"Bedfield, Suffolk, England, UK",,,,"Whiting, Fred ('Pip'), 1906-1988 (fiddle)",,,,,"Summers, Keith (recordist)",,00:01:24,violin,,,
C1002X0010XX-0600,Man all tattered and torn,1CDR0007364 (copy of C1002/10),Keith Summers Collection,"Item notes: Pause at the beginning. Roud Folk Song Index No. 1407. Performer notes: From Little Glemham, Suffolk. Later based at Leiston. ",02/01/1971,"Leiston, Suffolk, England, UK",,,,"Brightwell, William ('Jumbo'), 1900-",,,,,"Summers, Keith (recordist)",,00:01:31,,,,
C1002X0058XX-1000,"Percy Webb interview, part 04",1CDR0007342 (copy of C1002/58),Keith Summers Collection,"Item notes: Percy Webb interviewed by Keith Summers. Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Interviewee notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. Part 4 - Percy Webb asks about the repertoire of the singers at the Southend club 'do they sing traditional or folk'. Instruments that he played. His father was a shepherd from 9 till his death at the age of 73. He's one of seven children, none of his siblings except for one sister (when she was younger) were ever singers. The gypsies used to sing at a pub called the Chequers in Wickham",ca. 1971,"Tunstall, Suffolk, England, UK",,"Webb, Percy,  1897- (speaker,male)","Summers, Keith (speaker, male)","Webb, Percy,  1897- (speaker,male",interviewee),,,,"Summers, Keith (recordist)",,00:01:11,,,,
C1002X0058XX-1300,"Percy Webb interview, part 05",1CDR0007344 (copy of C1002/58),Keith Summers Collection,"Item notes: Percy Webb interviewed by Keith Summers. Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Interviewee notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. Part 5 - Percy Webb talks about his first jobs. Always worked with horses. Different rates of pay on the farm. Comes back from the War to find no jobs. Mechanisation putting many out of jobs",ca. 1971,"Tunstall, Suffolk, England, UK",,"Webb, Percy,  1897- (speaker,male)","Summers, Keith (speaker, male)","Webb, Percy,  1897- (speaker,male",interviewee),,,,"Summers, Keith (recordist)",,00:01:38,,,,
C1002X0058XX-1500,"Percy Webb interview, part 06",1CDR0007344 (copy of C1002/58),Keith Summers Collection,"Item notes: Percy Webb interviewed by Keith Summers. Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Interviewee notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. Tape runs out during interview. Part 6 - It doesnt sound so good if youre singing from a book, but admits to having learnt songs from books. Thought 'Marrowbones' a good book, he'd get the tunes from hearing his mates sing them; Song ownership; Bob Hart; The Great War, Royal machine-gun battalion, being gassed, couldn't speak for six months, convalescing [end of side one]",ca. 1971,"Tunstall, Suffolk, England, UK",,"Webb, Percy,  1897- (speaker,male)","Summers, Keith (speaker, male)","Webb, Percy,  1897- (speaker,male",interviewee),,,,"Summers, Keith (recordist)",,00:01:23,,,,
C1002X0058XX-1700,"Percy Webb interview, part 07",1CDR0007344 (copy of C1002/58),Keith Summers Collection,"Item notes: Percy Webb interviewed by Keith Summers. Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Interviewee notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. Part 7 - The Home Guard; The nearby American airforce base bringing work to the area; List of songs",ca. 1971,"Tunstall, Suffolk, England, UK",,"Webb, Percy,  1897- (speaker,male)","Summers, Keith (speaker, male)","Webb, Percy,  1897- (speaker,male",interviewee),,,,"Summers, Keith (recordist)",,00:04:15,,,,
C1002X0058XX-1900,"Percy Webb interview, part 08",1CDR0007344 (copy of C1002/58),Keith Summers Collection,"Item notes: Percy Webb interviewed by Keith Summers. Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Interviewee notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. Interview - Part 8 - Singing at school and in the church choir; Singers that he has met",ca. 1971,"Tunstall, Suffolk, England, UK",,"Webb, Percy,  1897- (speaker,male)","Summers, Keith (speaker, male)","Webb, Percy,  1897- (speaker,male",interviewee),,,,"Summers, Keith (recordist)",,00:01:45,,,,
C1002X0058XX-0200,"Percy Webb interview, part 01",1CDR0007342 (copy of C1002/58),Keith Summers Collection,"Item notes: Percy Webb interviewed by Keith Summers. Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Interviewee notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. Part 1 - Percy Webb talks about his Wartime experiences, Sargent, left the Army to settle down with his wife in Tunstall. Started with farm work, now works in the Chemists at Woodbridge. Learnt tunes from his Father. Can still Step-dance. The Smith family were the best dancers in the area. Made a recording for TV, got 5 guineas",ca. 1971,"Tunstall, Suffolk, England, UK",,"Webb, Percy,  1897- (speaker,male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:01:25,,,,
C1002X0058XX-0600,"Percy Webb interview, part 02",1CDR0007342 (copy of C1002/58),Keith Summers Collection,"Item notes: Percy Webb interviewed by Keith Summers. Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Interviewee notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. Part 2 - His great grandfathers were both singers and step-dancers. Visiting Southend. The clubs and festivals that he has sung at, visiting the Kings Head in London. Sung at the Green Man, Tunstall. Recorded by Peter Kennedy",ca. 1971,"Tunstall, Suffolk, England, UK",,"Webb, Percy,  1897- (speaker,male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:06:00,,,,
C1002X0058XX-0800,"Percy Webb interview, part 03",1CDR0007342 (copy of C1002/58),Keith Summers Collection,"Item notes: Percy Webb interviewed by Keith Summers. Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Interviewee notes: Born at Stonewall [?] Hemingstone, Suffolk. Based at Tunstall from 1914. Recording notes: Low recording level, XLR has been increased to -8dBu. noticable tape hiss and noise. Part 3 - The music that used to be around when he was younger. He used to sing every night in the Butley Oyster. Always sings in pubs, the beer helps. Knows about a hundred songs. Reckons 'Are we to part like this' to be one of his oldest songs",ca. 1971,"Tunstall, Suffolk, England, UK",,"Webb, Percy,  1897- (speaker,male)","Summers, Keith (speaker, male)",,,,,,"Summers, Keith (recordist)",,00:02:33,,,,
C1002X0067XX-0800,Recording level test,1CDR0007352 (copy of C1002/67),Keith Summers Collection,"Item notes: Peta Webb hums 'Away in a manger', sings a line of 'O little town of Bethlehem' and then a line of 'The Galway Shawl'. Recording level tests. ",ca. 1985-12,"London, England, UK",,,,"Webb, Peta  (singer, female)",,,,,"Summers, Keith (recordist)",,00:01:39,,,,
C1002X0047XX-1000,Sailor's hornpipe / Pigeon on the gate,1CDR0007341 (copy of C1002/47),Keith Summers Collection,Item notes: Pigeon on the gate is repeated. ,1977,"Butley, Suffolk, England, UK",,,,"Smith, Albert  (jews harp)",,,,,"Summers, Keith (recordist)",,00:01:11,jews harp,,,
C1002X0009XX-0200,Nancy of Yarmouth - Take 1,1CDR0007363 (copy of C1002/9),Keith Summers Collection,"Item notes: Pitched too high at the beginning. Roud Folk Song Index No. 407. Performer notes: Of the Ling family of Blaxhall, Suffolk. ",1/27/1971,"Croydon, London, England, UK",,,,"Ling, George (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:21,,,,
C1002X0082XX-1200,Nay good luck in Durham jail,1CDR0010652 (copy of C1002/82),Keith Summers Collection,"Item notes: Possibly a related song to Roud Folk Song Index No. 822. Recording notes: Very low recording level, noticable tape hiss. ",1971,"Unidentified location, England, UK",,,,"Killen, Louis (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:26,,,,
C1002X0027XX-0500,I can't change it,1CDR0007369 (copy of C1002/27),Keith Summers Collection,Item notes: Possibly the same as Roud Folk Song Index No. 8828. Performer notes: From Debach Suffolk. age 95. Recording notes: Box states - reverse stereo except last track - this has been corrected for playback purposes. ,04/02/1971,"Little Glenham, Suffolk, England, UK",,,,"Knights, Jimmy, 'Holy Jim',  1880 - (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:44,,,,
C1002X0063XX-3400,The Girl I left behind me,1CDR0007346 (copy of C1002/63),Keith Summers Collection,"Item notes: Preceded and followed by conversation, recorded during a pub session. Performance notes: Played on concertina and spoons by two as yet unidentified players. Recording notes: Low recording level, XLR increased to -8dBu for playback purposes. ",ca. 1970 to 1974,"possibly Saxmundham, Suffolk, England, UK",,,,Unidentified (concertina),,,,,"Summers, Keith (recordist)",,00:00:32,concertina,spoons,,
C1002X0078XX-0800,The Fellow that played the trombone,1CDR0007357 (copy of C1002/77),Keith Summers Collection,"Item notes: Preceded and followed by conversation. Roud Folk Song Index No. 1848. Performer notes: From Debach, Suffolk. age 94. ",1974-01,"Little Glenham, Suffolk, England, UK",,,,"Knights, Jimmy, 'Holy Jim',  1880 - (singer, male)",,,,,"Summers, Keith (recordist)",,00:00:40,,,,
C1002X0090XX-6200,The keel row,1CDR0010664 (copy of C1002/90),Keith Summers Collection,Item notes: Preceded and followed by conversation. Roud Folk Song Index No. 3059. Recorded during a lively pub session.. ,ca. 1973,"A public house, probably in South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:01:52,melodeon,,,
C1002X0078XX-1000,Faithful sailor boy,1CDR0007357 (copy of C1002/77),Keith Summers Collection,"Item notes: Preceded and followed by conversation. Roud Folk Song Index No. 376. Laws Ballad No. K13. Performer notes: From Debach, Suffolk. age 94. ",1974-01,"Little Glenham, Suffolk, England, UK",,,,"Knights, Jimmy, 'Holy Jim',  1880 - (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:05,,,,
C1002X0078XX-0200,Out with my gun in the morning,1CDR0007357 (copy of C1002/77),Keith Summers Collection,"Item notes: Preceded and followed by conversation. Song learnt from Charlie Baldry. Roud Folk Song Index No. 1847. Performer notes: From Debach, Suffolk. age 94. Recording notes: Tape drop out during the last verse, about twenty seconds lost. ",1974-01,"Little Glemham, Suffolk, England, UK",,,,"Knights, Jimmy, 'Holy Jim',  1880 - (singer, male)",,,,,"Summers, Keith (recordist)",,00:01:41,,,,
C1002X0090XX-1000,Primrose polka,1CDR0010663 (copy of C1002/90),Keith Summers Collection,Item notes: Preceded and followed by conversation.. ,ca. 1973,"Bob Cann's home, South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:03:52,melodeon,,,
C1002X0090XX-1100,Scottish polka,1CDR0010663 (copy of C1002/90),Keith Summers Collection,Item notes: Preceded and followed by conversation.. ,ca. 1973,"Bob Cann's home, South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:01:57,melodeon,,,
C1002X0090XX-1300,Jig,1CDR0010663 (copy of C1002/90),Keith Summers Collection,Item notes: Preceded and followed by conversation.. ,ca. 1973,"Bob Cann's home, South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:00:51,melodeon,,,
C1002X0090XX-1500,Schottische hornpipe,1CDR0010663 (copy of C1002/90),Keith Summers Collection,Item notes: Preceded and followed by conversation.. ,ca. 1973,"Bob Cann's home, South Tawton, Devon, England, UK",,,,"Cann, Bob (melodeon)",,,,,"Summers, Keith (recordist)",,00:03:13,melodeon,,,
